aggregation,dgp,n,p,pi,tau,grid_variant,replications_requested,replications_successful,failures,direct_true_alpha_available_rate,direct_true_alpha_acceptance,direct_true_alpha_rejection_rate,coverage,bias,rmse,mean_cr_length,median_cr_length,full_grid_acceptance_rate,empty_cr_rate,mean_number_of_connected_components,multiple_components_rate,mean_alpha_evaluations,mean_runtime_seconds,direct_vs_interpolated_mismatch_rate,interpolation_vs_region_mismatch_rate,coverage_loss_vs_direct_rate,interpolation_loss_vs_direct_rate,reconstruction_loss_rate,exact_grid_point_cases,exact_grid_point_consistency_mismatches,total_failed_alpha_evaluations
design_cell,dgp1,500.0,200.0,0.1,0.25,grid_21,500,500,0,0.964,0.950207468879668,0.04979253112033195,0.904,0.49528975019608174,1.3659572821465893,3.520588369248349,3.6000000000015087,0.374,0.006,1.626,0.476,21.0,0.38200244117248805,0.05186721991701245,0.0,0.04979253112033195,0.04979253112033195,0.0,0,0,266
design_cell,dgp1,500.0,200.0,0.1,0.25,grid_41,500,500,0,0.964,0.950207468879668,0.04979253112033195,0.9,0.5294897501960818,1.3574514339609758,3.5163503806213257,3.709770490056178,0.216,0.006,2.186,0.708,41.0,0.7395927689960227,0.04979253112033195,0.0,0.04979253112033195,0.04979253112033195,0.0,0,0,530
design_cell,dgp1,500.0,200.0,0.1,0.25,grid_81,500,500,0,0.964,0.950207468879668,0.04979253112033195,0.914,0.5063897501960818,1.3410175126014017,3.5251558203478925,3.7500000000005573,0.096,0.006,3.032,0.86,81.0,1.4665424664961173,0.026970954356846474,0.0,0.026970954356846474,0.026970954356846474,0.0,0,0,1015
design_cell,dgp1,500.0,200.0,0.1,0.25,adaptive_21_to_0.025,500,500,0,0.964,0.950207468879668,0.04979253112033195,0.946,0.4840897501960818,1.3471964319448388,3.6615747717772646,3.9500000000000806,0.374,0.006,1.626,0.476,25.578,0.4982307993909344,0.004149377593360996,0.0,0.004149377593360996,0.004149377593360996,0.0,0,0,448
design_cell,dgp1,500.0,200.0,0.1,0.5,grid_21,500,500,0,0.978,0.950920245398773,0.049079754601226995,0.93,-0.043999999999999886,1.260603030299388,3.587099031587282,3.800000000000348,0.42,0.0,1.556,0.418,21.0,0.2394032012121752,0.0,0.0,0.0,0.0,0.0,500,0,234
design_cell,dgp1,500.0,200.0,0.1,0.5,grid_41,500,500,0,0.978,0.950920245398773,0.049079754601226995,0.93,-0.016399999999999894,1.2329476874547438,3.571165041018756,3.800000000000474,0.262,0.0,2.1,0.65,41.0,0.4712107836762443,0.0,0.0,0.0,0.0,0.0,500,0,493
design_cell,dgp1,500.0,200.0,0.1,0.5,grid_81,500,500,0,0.978,0.950920245398773,0.049079754601226995,0.93,0.022600000000000127,1.211775556776089,3.581670040420526,3.768431561253454,0.128,0.0,2.972,0.836,81.0,1.0134931306168438,0.0,0.0,0.0,0.0,0.0,500,0,930
design_cell,dgp1,500.0,200.0,0.1,0.5,adaptive_21_to_0.025,500,500,0,0.978,0.950920245398773,0.049079754601226995,0.93,-0.033199999999999896,1.2539198538981668,3.7148657503334643,3.9500000000001787,0.42,0.0,1.556,0.418,25.158,0.2999102070396766,0.0,0.0,0.0,0.0,0.0,500,0,354
design_cell,dgp1,500.0,200.0,0.1,0.75,grid_21,500,500,0,0.974,0.9486652977412731,0.0513347022587269,0.91,-0.36888975019608145,1.3629850651418478,3.4997238453290773,3.6000000000015158,0.404,0.0,1.648,0.482,21.0,0.2560673117535189,0.043121149897330596,0.0,0.04106776180698152,0.04106776180698152,0.0,0,0,289
design_cell,dgp1,500.0,200.0,0.1,0.75,grid_41,500,500,0,0.974,0.9486652977412731,0.0513347022587269,0.902,-0.36228975019608145,1.347384511970187,3.4977943999336016,3.7995472690291923,0.228,0.0,2.212,0.708,41.0,0.5029143223566934,0.049281314168377825,0.0,0.043121149897330596,0.043121149897330596,0.0,0,0,576
design_cell,dgp1,500.0,200.0,0.1,0.75,grid_81,500,500,0,0.974,0.9486652977412731,0.0513347022587269,0.906,-0.3361897501960815,1.3151127929333302,3.517152918288959,3.790619815955051,0.08,0.0,3.008,0.882,81.0,0.9839137924192474,0.04106776180698152,0.0,0.03696098562628337,0.03696098562628337,0.0,0,0,1082
design_cell,dgp1,500.0,200.0,0.1,0.75,adaptive_21_to_0.025,500,500,0,0.974,0.9486652977412731,0.0513347022587269,0.942,-0.3524897501960814,1.3621793288672737,3.6544703785698536,3.9500000000001405,0.404,0.0,1.648,0.482,25.548,0.33597797794267537,0.01026694045174538,0.0,0.008213552361396304,0.008213552361396304,0.0,0,0,520
design_cell,dgp1,500.0,200.0,1.0,0.25,grid_21,500,500,0,0.974,0.9404517453798767,0.059548254620123205,0.88,-0.005910249803918212,0.3946273825430069,1.3591081643821663,1.3368386615807504,0.0,0.0,1.148,0.138,21.0,0.2544728500023484,0.06365503080082136,0.0,0.059548254620123205,0.059548254620123205,0.0,0,0,256
design_cell,dgp1,500.0,200.0,1.0,0.25,grid_41,500,500,0,0.974,0.9404517453798767,0.059548254620123205,0.88,-0.012710249803918222,0.38683033806835526,1.3663942809081067,1.3329674306641683,0.0,0.0,1.334,0.286,41.0,0.4955104824369773,0.057494866529774126,0.0,0.055441478439425054,0.055441478439425054,0.0,0,0,519
design_cell,dgp1,500.0,200.0,1.0,0.25,grid_81,500,500,0,0.974,0.9404517453798767,0.059548254620123205,0.892,-0.006510249803918221,0.385423641403209,1.370220265706177,1.3359925987690011,0.0,0.0,1.69,0.506,81.0,0.9786612285673618,0.039014373716632446,0.0,0.039014373716632446,0.039014373716632446,0.0,0,0,1044
