dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,dml_quantile_penalty,dml_ridge_alpha,dml_quantile_solver,dml_qr_fit_count,dml_runtime_mean_alpha_sec,dml_runtime_max_alpha_sec,dml_qr_nonzero_mean,dml_z_resid_var_mean,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp2,500,500,0.1,0.25,0,5443369904443752480,dml_ivqr,2.4000000000000004,0.3255102498039183,2.074489750196082,2.074489750196082,4.303507723668602,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0030694985114425788,1.4404599747098807,0.0030694985114425788,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,20.083430300001055,20.083430300001055,,20.083430300001055,20.043793800054118,0.0013437001034617424,,0.0009635998867452145,20.083430300001055,0.03732919995673001,,,20.043793800054118,,0.0013437001034617424,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,0.9544600571527899,1.184259600006044,9.380952380952381,2.1789352452349,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,1,3276341512059057779,dml_ivqr,2.4000000000000004,0.3255102498039183,2.074489750196082,2.074489750196082,4.303507723668602,ok,False,True,,,-1.0,3.0,3.2915611494148393,False,False,True,True,True,17,0.8095238095238095,2,True,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.42218664562328373,4.530863515666468,0.42218664562328373,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,21.090345700038597,21.090345700038597,,21.090345700038597,21.05233670002781,0.0006419999990612268,,0.0008703998755663633,21.090345700038597,0.03649660013616085,,,21.05233670002781,,0.0006419999990612268,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,1.0024850618959005,1.2254892999771982,9.857142857142858,2.1358985556243915,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,2,1751579358834286689,dml_ivqr,-0.19999999999999996,0.3255102498039183,-0.5255102498039183,0.5255102498039183,0.2761610226489766,ok,False,True,,,-1.0,3.0,3.6191805660284815,False,True,True,True,True,19,0.9047619047619048,2,True,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0030369852785480777,5.282697913584889,0.0030369852785480777,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,20.996021799976006,20.996021799976006,,20.996021799976006,20.969103100011125,0.001128600211814046,,0.0009045996703207493,20.996021799976006,0.024885500082746148,,,20.969103100011125,,0.001128600211814046,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,0.998519923815149,1.2752569001168013,12.333333333333334,2.363198451735971,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,3,6705704668292774247,dml_ivqr,1.6,0.3255102498039183,1.2744897501960817,1.2744897501960817,1.6243241233548706,ok,False,True,,,-0.9876161858673231,3.0,3.9876161858673234,False,True,False,True,True,20,0.9523809523809523,1,False,3.9876161858673234,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.025556390027881806,3.9350543286670843,0.025556390027881806,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,19.754033399978653,19.754033399978653,,19.754033399978653,19.72901440015994,0.0009181001223623753,,0.00073009985499084,19.754033399978653,0.023370799841359258,,,19.72901440015994,,0.0009181001223623753,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,0.9394708142748901,1.1837981001008302,10.380952380952381,2.4320175630106,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,4,6343718395380566197,dml_ivqr,3.0,0.3255102498039183,2.6744897501960816,2.6744897501960816,7.152895423903899,ok,False,True,,,1.4954960791931853,3.0,1.5045039208068147,False,False,False,True,True,8,0.38095238095238093,1,False,1.5045039208068147,-1.0,3.0,21,0.2,False,True,True,0,0.0,0.04764689125037312,10.103299023646809,0.04764689125037312,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,20.528416299959645,20.528416299959645,,20.528416299959645,20.486812900053337,0.0011491000186651945,,0.0009857998229563236,20.528416299959645,0.03946850006468594,,,20.486812900053337,,0.0011491000186651945,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,0.9755557428468906,1.2129939999431372,10.0,2.0388452059518123,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,0,929846494630622916,dml_ivqr,-1.0,1.0,-2.0,2.0,4.0,ok,False,True,,,-1.0,2.480726950634314,1.4069324496937092,False,False,True,False,True,8,0.38095238095238093,4,True,3.480726950634314,-1.0,3.0,21,0.2,True,False,True,0,0.0,1.7803206784285703,6.073612217880662,1.7803206784285703,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,21.752056100172922,21.752056100172922,,21.752056100172922,21.7179243999999,0.0011730000842362642,,0.0009627002291381359,21.752056100172922,0.03199599985964596,,,21.7179243999999,,0.0011730000842362642,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,1.0341793714268577,1.3147817000281066,17.666666666666668,2.022746923724048,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,1,9174395711599958830,dml_ivqr,-1.0,1.0,-2.0,2.0,4.0,ok,False,True,,,-1.0,3.0,3.3880484231657553,False,True,True,True,True,18,0.8571428571428571,4,True,4.0,-1.0,3.0,21,0.2,True,False,True,0,0.0,0.05457331785300187,5.515851695703288,0.05457331785300187,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,21.32100890018046,21.32100890018046,,21.32100890018046,21.302755299955606,0.0005989999044686556,,0.0005686003714799881,21.32100890018046,0.01708599994890392,,,21.302755299955606,,0.0005989999044686556,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,1.0144103618804365,1.307824800023809,17.595238095238095,2.2235311998837934,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,2,4678209227790743410,dml_ivqr,-0.3999999999999999,1.0,-1.4,1.4,1.9599999999999997,ok,False,True,,,-1.0,3.0,3.5886440054718216,False,True,True,True,True,19,0.9047619047619048,2,True,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,1.0695773768622037,6.285702501206143,1.0695773768622037,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,21.90183149999939,21.90183149999939,,21.90183149999939,21.885201999917626,0.0007372999098151922,,0.000502200098708272,21.90183149999939,0.015390000073239207,,,21.885201999917626,,0.0007372999098151922,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,1.0421458000006776,1.3729652999900281,19.285714285714285,2.170690644512443,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,3,8334348606518942113,dml_ivqr,1.0,1.0,0.0,0.0,0.0,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.03905811933954215,2.3180233416926765,0.03905811933954215,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,13.50364839984104,13.50364839984104,,13.50364839984104,13.479114899877459,0.001205200096592307,,0.0008739999029785395,13.50364839984104,0.022454299964010715,,,13.479114899877459,,0.001205200096592307,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,0.6418576428799757,1.2609791001304984,17.904761904761905,2.4943885601202043,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,4,8974968178208391982,dml_ivqr,2.6,1.0,1.6,1.6,2.5600000000000005,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.017591043530644203,1.7429625002490663,0.017591043530644203,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,12.986681899987161,12.986681899987161,,12.986681899987161,12.961098900064826,0.0003798999823629856,,0.0005572999361902475,12.986681899987161,0.024645800003781915,,,12.961098900064826,,0.0003798999823629856,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,0.6171897809420314,1.0521327999886125,16.333333333333332,2.165770791165048,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.75,0,1808592947271104310,dml_ivqr,2.8000000000000003,1.6744897501960816,1.1255102498039187,1.1255102498039187,1.2667733224136795,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,1.1568766711867543e-05,0.544197060268168,1.1568766711867543e-05,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,24.151693099876866,24.151693099876866,,24.151693099876866,24.095722599886358,0.0013788000214844942,,0.0009640001226216555,24.151693099876866,0.05362769984640181,,,24.095722599886358,,0.0013788000214844942,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,42,1.1474071333317883,1.274637200171128,8.380952380952381,2.281845112637889,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
