dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,dml_quantile_penalty,dml_ridge_alpha,dml_quantile_solver,dml_qr_fit_count,dml_runtime_mean_alpha_sec,dml_runtime_max_alpha_sec,dml_qr_nonzero_mean,dml_z_resid_var_mean,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp2,500,500,0.1,0.25,0,5443369904443752480,dml_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.017633887017685868,3.6170311360438423,0.017633887017685868,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,25.09840429999167,25.09840429999167,,25.09840429999167,25.064237800019328,0.0004144000122323632,,0.000532599980942905,25.09840429999167,0.03321949997916818,,,25.064237800019328,,0.0004144000122323632,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.1935298285763045,1.3458766999538057,7.714285714285714,3.15054309474311,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,1,3276341512059057779,dml_ivqr,-1.0,0.3255102498039183,-1.3255102498039184,1.3255102498039184,1.7569774223352461,ok,False,True,,,-1.0,3.0,3.6329685212262603,False,True,True,True,True,19,0.9047619047619048,2,True,4.0,-1.0,3.0,21,0.2,True,False,True,0,0.0,0.2964726303505613,4.48087314282215,0.2964726303505613,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,24.732367799966596,24.732367799966596,,24.732367799966596,24.698612799984403,0.0004960999940522015,,0.0006098999874666333,24.732367799966596,0.03264900000067428,,,24.698612799984403,,0.0004960999940522015,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.176119738089342,1.3875033000367694,8.11111111111111,2.8407408391785096,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,2,1751579358834286689,dml_ivqr,-0.6,0.3255102498039183,-0.9255102498039183,0.9255102498039183,0.8565692224921112,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,1.8942425062232505e-05,0.3802470297266005,1.8942425062232505e-05,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,25.087847199989483,25.087847199989483,,25.087847199989483,25.054802800004836,0.0004634999786503613,,0.000665400002617389,25.087847199989483,0.03191550000337884,,,25.054802800004836,,0.0004634999786503613,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.1930813999996255,1.4359599000308663,8.904761904761905,3.2340856423599784,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,3,6705704668292774247,dml_ivqr,2.2,0.3255102498039183,1.8744897501960818,1.8744897501960818,3.513711823590169,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.00010120744488039645,1.7804857447548657,0.00010120744488039645,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,25.296120000013616,25.296120000013616,,25.296120000013616,25.26309650001349,0.0004276999970898032,,0.00046579999616369605,25.296120000013616,0.03213000000687316,,,25.26309650001349,,0.0004276999970898032,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.2030005619107258,1.3742183999856934,7.968253968253968,3.3056347278870803,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,4,6343718395380566197,dml_ivqr,2.8000000000000003,0.3255102498039183,2.474489750196082,2.474489750196082,6.123099523825467,ok,False,True,,,-1.0,3.0,2.9240139306590933,False,True,True,True,True,16,0.7619047619047619,2,True,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0029000166996918236,5.70382530178732,0.0029000166996918236,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,23.686949700000696,23.686949700000696,,23.686949700000696,23.658060200046748,0.00042639998719096184,,0.0004237999673932791,23.686949700000696,0.02803929999936372,,,23.658060200046748,,0.00042639998719096184,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.1265706142876297,1.2951415000134148,7.682539682539683,2.947632497550789,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,0,929846494630622916,dml_ivqr,2.6,1.0,1.6,1.6,2.5600000000000005,ok,False,True,,,-1.0,3.0,3.7041229022824225,False,True,True,True,True,19,0.9047619047619048,2,True,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.2571612729123792,5.190009562344638,0.2571612729123792,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,24.821994199999608,24.821994199999608,,24.821994199999608,24.78932410001289,0.00038029998540878296,,0.00045330001739785075,24.821994199999608,0.03183649998391047,,,24.78932410001289,,0.00038029998540878296,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.180440133334958,1.2564195999875665,12.396825396825397,3.0233187169255884,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,1,9174395711599958830,dml_ivqr,1.6,1.0,0.6000000000000001,0.6000000000000001,0.3600000000000001,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.00016583048596528383,0.7054575401631862,0.00016583048596528383,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,24.679683200025465,24.679683200025465,,24.679683200025465,24.648155400005635,0.0004346999921835959,,0.0004555999767035246,24.679683200025465,0.030637500050943345,,,24.648155400005635,,0.0004346999921835959,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.1737180190504573,1.2323609999730252,11.968253968253968,3.0627603801533105,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,2,4678209227790743410,dml_ivqr,2.6,1.0,1.6,1.6,2.5600000000000005,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.00016829434502404377,2.541568990083099,0.00016829434502404377,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,25.098799299972598,25.098799299972598,,25.098799299972598,25.072650199988857,0.0003282999969087541,,0.00037759996484965086,25.098799299972598,0.025443200021982193,,,25.072650199988857,,0.0003282999969087541,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.193931804750935,1.231868399947416,14.222222222222221,3.0415375149542405,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,3,8334348606518942113,dml_ivqr,1.6,1.0,0.6000000000000001,0.6000000000000001,0.3600000000000001,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.016416692594029267,2.2258372688819974,0.016416692594029267,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,19.58672459999798,19.58672459999798,,19.58672459999798,19.56067749997601,0.0002861000248230994,,0.0004120999947190285,19.58672459999798,0.0253489000024274,,,19.56067749997601,,0.0002861000248230994,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,0.9314576761846963,1.2063991000177339,11.428571428571429,3.71878463379081,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,4,8974968178208391982,dml_ivqr,2.8000000000000003,1.0,1.8000000000000003,1.8000000000000003,3.240000000000001,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.030237593102341753,1.201429267251276,0.030237593102341753,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,19.043842900020536,19.043842900020536,,19.043842900020536,19.0174529000069,0.00034680002136155963,,0.0006504999473690987,19.043842900020536,0.025392700044903904,,,19.0174529000069,,0.00034680002136155963,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,0.9055899190411548,0.9490633999812417,11.53968253968254,3.0371407192928124,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.75,0,1808592947271104310,dml_ivqr,3.0,1.6744897501960816,1.3255102498039184,1.3255102498039184,1.7569774223352461,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,True,True,0,0.0,0.06302024926423548,1.8218816785017364,0.06302024926423548,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,22.950969199999236,22.950969199999236,,22.950969199999236,22.916529299982358,0.0004495999892242253,,0.0007422000053338706,22.950969199999236,0.033248100022319704,,,22.916529299982358,,0.0004495999892242253,,,,,,,,,,,,,,,,0.07,1.0,highs-ipm,63,1.0912555619032078,1.1466313999844715,6.507936507936508,3.379863539458348,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
