dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,500,200,1.0,0.25,0,6453165824556549201,oracle,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,False,True,,,-0.7069219701176903,0.658334771356152,1.3652567414738424,False,True,False,False,False,7,0.3333333333333333,1,False,1.3652567414738424,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.04158468008528894,42.880362142021404,0.04158468008528894,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.29456369997933507,0.29456369997933507,,0.29456369997933507,0.29404280008748174,0.00044710002839565277,,7.379986345767975e-05,,,,,,,,,,,,,,,0.29456369997933507,0.29404280008748174,,0.00044710002839565277,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.25,1,9214940379343621333,oracle,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.5411472758409076,1.2553147757345497,1.7964620515754572,False,True,False,False,False,9,0.42857142857142855,1,False,1.7964620515754572,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.03293908103738996,44.67191859410966,0.03293908103738996,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.3535072999075055,0.3535072999075055,,0.3535072999075055,0.3527494000736624,0.0006697999779134989,,8.809985592961311e-05,,,,,,,,,,,,,,,0.3535072999075055,0.3527494000736624,,0.0006697999779134989,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.25,2,3154660004538282353,oracle,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.8085029201832464,0.8148173943337123,1.6233203145169588,False,True,False,False,False,9,0.42857142857142855,1,False,1.6233203145169588,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.004302774731336558,52.412531758940645,0.004302774731336558,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.36899260012432933,0.36899260012432933,,0.36899260012432933,0.36845969990827143,0.0004640000406652689,,6.890017539262772e-05,,,,,,,,,,,,,,,0.36899260012432933,0.36845969990827143,,0.0004640000406652689,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.25,3,1717475357442033914,oracle,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,False,True,,,-1.0,0.6625697510293105,1.6625697510293105,False,True,True,False,True,9,0.42857142857142855,1,False,1.6625697510293105,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.06744811324807574,64.08586212665821,0.06744811324807574,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.2862107998225838,0.2862107998225838,,0.2862107998225838,0.2855021001305431,0.000578699866309762,,0.00012999982573091984,,,,,,,,,,,,,,,0.2862107998225838,0.2855021001305431,,0.000578699866309762,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.25,4,8676467209849990564,oracle,0.6000000000000001,0.3255102498039183,0.2744897501960818,0.2744897501960818,0.07534462296270739,ok,False,True,,,-0.30241840545640863,1.4815802100366746,1.7839986154930831,False,True,False,False,False,9,0.42857142857142855,1,False,1.7839986154930831,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0004287497656811618,44.209976933792824,0.0004287497656811618,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.32264379994012415,0.32264379994012415,,0.32264379994012415,0.32163000013679266,0.0008599001448601484,,0.0001538996584713459,,,,,,,,,,,,,,,0.32264379994012415,0.32163000013679266,,0.0008599001448601484,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.25,5,8448470054762995597,oracle,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.33019594529874446,0.8896131034232276,1.2198090487219722,False,True,False,False,False,6,0.2857142857142857,1,False,1.2198090487219722,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.07630131039629436,46.15954126522063,0.07630131039629436,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.31468939990736544,0.31468939990736544,,0.31468939990736544,0.3142930001486093,0.0003270998131483793,,6.929994560778141e-05,,,,,,,,,,,,,,,0.31468939990736544,0.3142930001486093,,0.0003270998131483793,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.25,6,5021447493907674237,oracle,0.8,0.3255102498039183,0.47448975019608175,0.47448975019608175,0.22514052304114007,ok,False,True,,,-0.4181322623404795,1.470312178829765,1.8884444411702446,False,True,False,False,False,10,0.47619047619047616,1,False,1.8884444411702446,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.003444407059892337,39.74204002950475,0.003444407059892337,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.44484549993649125,0.44484549993649125,,0.44484549993649125,0.4440524000674486,0.0006856999825686216,,0.00010739988647401333,,,,,,,,,,,,,,,0.44484549993649125,0.4440524000674486,,0.0006856999825686216,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.25,7,21741838260193456,oracle,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.6708658625363144,1.1085394573091638,1.7794053198454782,False,True,False,False,False,9,0.42857142857142855,1,False,1.7794053198454782,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.2459203503519353,42.26414174269629,0.2459203503519353,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.38750829990021884,0.38750829990021884,,0.38750829990021884,0.386545900022611,0.0008276000153273344,,0.00013479986228048801,,,,,,,,,,,,,,,0.38750829990021884,0.386545900022611,,0.0008276000153273344,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.25,8,4118864315573949973,oracle,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,False,True,,,-0.7414516584741456,0.8203222005029032,1.1617738589785516,False,False,False,False,False,7,0.3333333333333333,2,True,1.5617738589770487,-1.0,3.0,21,0.2,False,False,False,1,0.047619047619047616,0.006793213679755666,1000000000000.0,0.006793213679755666,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.30969200003892183,0.30969200003892183,,0.30969200003892183,0.3093179001007229,0.00031240005046129227,,6.16998877376318e-05,,,,,,,,,,,,,,,0.30969200003892183,0.3093179001007229,,0.00031240005046129227,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
dgp1,500,200,1.0,0.25,9,4913464245341002973,oracle,0.6000000000000001,0.3255102498039183,0.2744897501960818,0.2744897501960818,0.07534462296270739,ok,False,True,,,-0.467590412518814,1.3457296389114428,1.8133200514302568,False,True,False,False,False,9,0.42857142857142855,1,False,1.8133200514302568,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.00014410201905098137,45.04943769529274,0.00014410201905098137,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.33978809998370707,0.33978809998370707,,0.33978809998370707,0.3393779001198709,0.00033820001408457756,,7.199984975159168e-05,,,,,,,,,,,,,,,0.33978809998370707,0.3393779001198709,,0.00033820001408457756,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,500,200,1.0,0.5,0,8093817413286627698,oracle,1.6,1.0,0.6000000000000001,0.6000000000000001,0.3600000000000001,ok,False,True,,,1.1117525956465122,2.2000000000001982,1.088247404353686,False,False,False,False,False,6,0.2857142857142857,1,False,1.088247404353686,-1.0,3.0,21,0.2,False,False,False,1,0.047619047619047616,0.21364142251297474,1000000000000.0,0.21364142251297474,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.42966099991463125,0.42966099991463125,,0.42966099991463125,0.4288508999161422,0.0006615000311285257,,0.00014859996736049652,,,,,,,,,,,,,,,0.42966099991463125,0.4288508999161422,,0.0006615000311285257,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
