dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,avg_cr_hull_length,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,alpha_hat_boundary_rate,cr_boundary_hit_rate,mean_failed_alpha_count,mean_failed_alpha_rate,mean_selected_controls,critical_value_multiplier,mean_critical_value_adjusted,mean_runtime_seconds,mean_runtime_total_sec,median_runtime_total_sec,mean_runtime_alpha_grid_sec,mean_runtime_confidence_region_sec,mean_dml_runtime_crossfit_sec,mean_ps_runtime_selection_sec,expected_replications,observed_replications,completion_rate
dgp1,500,200,0.1,0.25,dml_ivqr,10,10,0.8544897501960816,0.37448975019608177,1.4878685201287651,1.0897959000784325,0.8,0.8,3.1698703919774975,3.1698703919774975,3.4037818726139326,0.0,0.0,0.0,0.3,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,18.519794199994067,18.519794199994067,18.613094250002177,18.4992172499944,0.00067760999081651,0.01965624999138521,,10,10,1.0
dgp1,500,200,0.1,0.5,dml_ivqr,10,10,1.3322676295501878e-16,0.5000000000000002,1.3145341380123987,1.16,1.0,1.0,3.3179820114623597,3.3179820114623597,3.4315767095862113,0.0,0.0,0.0,0.3,0.2,0.2,1.0,0.0,0.0,,1.0,3.841458820694124,21.64642082999926,21.64642082999926,21.71358430001419,21.62790215999121,0.0006715400086249801,0.017633159994147656,,10,10,1.0
dgp1,500,200,0.1,0.75,dml_ivqr,10,10,0.025510249803918604,-0.07448975019608117,0.9811476814654654,0.86,1.0,1.0,3.8424657074201867,3.8424657074201867,3.9905716973763212,0.0,0.0,0.0,0.4,0.2,0.2,1.0,0.0,0.0,,1.0,3.841458820694124,18.575544009997977,18.575544009997977,18.547961949981982,18.556878800009144,0.0007497899990994099,0.01768466999637891,,10,10,1.0
dgp1,500,200,0.25,0.25,dml_ivqr,10,10,0.2944897501960818,0.2744897501960818,1.1217505128015546,0.9148979500392164,0.9,0.9,3.355093050059742,3.355093050059742,3.671708981683705,0.0,0.0,0.0,0.4,0.0,0.0,0.9,0.0,0.0,,1.0,3.841458820694124,18.496468120004284,18.496468120004284,18.45909114999813,18.476612829999066,0.0007589199929497599,0.018821940012276127,,10,10,1.0
dgp1,500,200,0.25,0.5,dml_ivqr,10,10,0.24000000000000013,0.20000000000000018,1.148912529307606,0.9199999999999999,0.9,0.9,3.4545069279696436,3.4545069279696436,3.524059957583904,0.0,0.0,0.0,0.1,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,21.382683179999002,21.382683179999002,21.44446810000227,21.36277396999649,0.0007322200050111201,0.01893807000597003,,10,10,1.0
dgp1,500,200,0.25,0.75,dml_ivqr,10,10,0.025510249803918562,0.4255102498039188,1.3837090636564677,1.125102049960784,0.6,0.6,2.4571686583419328,2.4571686583419328,2.6794923895198597,0.0,0.0,0.0,0.5,0.3,0.3,0.9,0.0,0.0,,1.0,3.841458820694124,18.499605300003896,18.499605300003896,18.462500150024425,18.478303069999676,0.00080913999117905,0.02023573999758805,,10,10,1.0
dgp1,500,200,0.5,0.25,dml_ivqr,10,10,-0.26551024980391824,-0.4255102498039182,0.7422234789811888,0.6702040999215674,0.9,0.9,2.6091110135469298,2.6091110135469298,2.6818598195660943,0.0,0.0,0.0,0.2,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,18.360281409998425,18.360281409998425,18.36550279997755,18.34053291999735,0.00060593001544471,0.018868870008736802,,10,10,1.0
dgp1,500,200,0.5,0.5,dml_ivqr,10,10,1.0000000000000002,1.2000000000000002,1.2489995996796799,1.0400000000000003,0.7,0.7,2.6569904141146488,2.6569904141146488,2.7188358155223313,0.0,0.0,0.0,0.3,0.0,0.0,0.9,0.0,0.0,,1.0,3.841458820694124,21.365769479994196,21.365769479994196,21.33752759997151,21.346527369995602,0.0006696600001304799,0.01834657999570477,,10,10,1.0
dgp1,500,200,0.5,0.75,dml_ivqr,10,10,0.06551024980391848,-0.0744897501960815,0.6846105409861666,0.62,0.9,0.9,2.3757283228394654,2.3757283228394654,2.5720149218925994,0.0,0.0,0.0,0.3,0.1,0.1,0.5,0.0,0.0,,1.0,3.841458820694124,18.593153819994768,18.593153819994768,18.693889249989297,18.57274108999409,0.00070237998734224,0.01944612999213855,,10,10,1.0
dgp1,500,200,1.0,0.25,dml_ivqr,10,10,0.19448975019608178,0.2744897501960818,0.5361215001576922,0.45489795003921635,0.9,0.9,1.5803173262784445,1.5803173262784445,1.5940243875604512,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,,1.0,3.841458820694124,16.657229330012342,16.657229330012342,16.695186750002904,16.636476280010537,0.0006865199946332301,0.019778039999073318,,10,10,1.0
