Design and measure,DML-style IVQR,Oracle IVQR,Mean-Lasso Post-selection IVQR
"n=500, p=200: Coverage",94.72%,94.17%,92.46%
"n=500, p=200: Bias",0.022,-0.004,-0.049
"n=500, p=200: RMSE",1.034,0.897,0.921
"n=500, p=200: Mean CR length",3.123,2.606,2.577
"n=500, p=200: Full-grid rate",36.95%,23.08%,21.86%
"n=500, p=500: Coverage",94.94%,94.21%,91.77%
"n=500, p=500: Bias",0.022,-0.009,-0.092
"n=500, p=500: RMSE",1.073,0.892,0.933
"n=500, p=500: Mean CR length",3.238,2.597,2.572
"n=500, p=500: Full-grid rate",39.96%,22.78%,21.36%
"n=1000, p=200: Coverage",95.00%,94.14%,92.86%
"n=1000, p=200: Bias",-0.021,-0.005,-0.036
"n=1000, p=200: RMSE",0.824,0.777,0.783
"n=1000, p=200: Mean CR length",2.468,2.209,2.182
"n=1000, p=200: Full-grid rate",21.51%,15.59%,14.77%
"n=1000, p=500: Coverage",94.94%,94.26%,92.58%
"n=1000, p=500: Bias",0.015,-0.009,-0.049
"n=1000, p=500: RMSE",0.998,0.767,0.788
"n=1000, p=500: Mean CR length",3.008,2.215,2.189
"n=1000, p=500: Full-grid rate",33.94%,16.03%,14.88%
