Coverage-dispersion measure,DML-style IVQR,Oracle IVQR,Mean-Lasso Post-selection IVQR
Number of design cells,144,144,144
Minimum coverage,91.80%,91.00%,83.80%
10th percentile,93.60%,92.40%,89.66%
25th percentile,94.20%,93.00%,90.80%
Median,94.80%,94.40%,92.80%
75th percentile,95.79%,95.25%,94.00%
90th percentile,96.20%,95.80%,95.00%
Maximum,97.39%,97.40%,96.60%
Share below 90%,0.00%,0.00%,11.11%
Share below 92.5%,0.69%,11.81%,43.06%
Share below 95%,52.08%,65.97%,88.19%
Share at or above 95%,47.92%,34.03%,11.81%
