Estimator,DGP,n,p,pi,tau,Resolved,Coverage,MCSE,Bias,RMSE,Mean CR length,Full grid,Unresolved
Mean-Lasso Post-selection IVQR,DGP2,500,500,1,0.75,500,83.80%,1.65%,-0.256,0.516,1.478,0.00%,0.00%
Mean-Lasso Post-selection IVQR,DGP3,500,500,1,0.75,500,83.80%,1.65%,-0.157,0.391,1.171,0.00%,0.00%
Mean-Lasso Post-selection IVQR,DGP2,500,200,1,0.75,500,85.80%,1.56%,-0.146,0.452,1.452,0.00%,0.00%
Mean-Lasso Post-selection IVQR,DGP2,500,500,0.25,0.75,500,86.80%,1.51%,-0.472,1.279,3.244,35.00%,0.00%
Mean-Lasso Post-selection IVQR,DGP2,500,500,0.5,0.75,500,87.00%,1.50%,-0.352,0.840,2.502,2.00%,0.00%
Mean-Lasso Post-selection IVQR,DGP2,500,200,0.5,0.75,500,88.00%,1.45%,-0.270,0.825,2.513,3.60%,0.00%
Mean-Lasso Post-selection IVQR,DGP2,1000,500,0.5,0.75,500,88.00%,1.45%,-0.154,0.570,1.836,0.00%,0.00%
Mean-Lasso Post-selection IVQR,DGP2,1000,500,1,0.75,500,88.00%,1.45%,-0.107,0.339,1.008,0.00%,0.00%
Mean-Lasso Post-selection IVQR,DGP1,1000,500,1,0.75,500,88.20%,1.44%,-0.086,0.290,0.940,0.00%,0.00%
Mean-Lasso Post-selection IVQR,DGP2,1000,200,0.1,0.75,500,88.40%,1.43%,-0.402,1.327,3.560,59.00%,0.00%
