estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp1,500,200,0.1,0.25,500,500,0,1,0.7664897502,0.8744897502,1.287930597,1.51625939,1.309567078,0.946,0.01010781876,0.9261886752,0.9658113248,3.782328457,4,0.748,,,0,0.162,,,,,,,,,
DML-IVQR,dgp1,500,200,0.1,0.5,500,497,3,1,0.0464,0,1.1,1.282248026,1.282691559,0.9456740443,0.0101670797,0.9257465681,0.9656015205,3.740458855,4,0.724,,,0.006,0.16,,,,,,,,,
DML-IVQR,dgp1,500,200,0.1,0.75,500,499,1,1,-0.2752897502,-0.0744897502,1.028265303,1.231301672,1.201334996,0.9559118236,0.009190088878,0.9378992494,0.9739243978,3.779741325,4,0.798,,,0.002,0.142,,,,,,,,,
DML-IVQR,dgp1,500,200,0.25,0.25,500,500,0,1,0.3364897502,0.2744897502,1.048836729,1.269086818,1.22489049,0.958,0.008970618708,0.9404175873,0.9755824127,3.600626459,4,0.542,,,0,0.15,,,,,,,,,
DML-IVQR,dgp1,500,200,0.25,0.5,500,499,1,1,-0.0304,0,0.9512,1.135323742,1.136053288,0.9498997996,0.009765811938,0.9307588082,0.969040791,3.574953143,4,0.54,,,0.002,0.094,,,,,,,,,
DML-IVQR,dgp1,500,200,0.25,0.75,500,500,0,1,-0.2400897502,-0.0744897502,1.004673467,1.226238039,1.203708631,0.964,0.00833114638,0.9476709531,0.9803290469,3.616183386,4,0.612,,,0,0.148,,,,,,,,,
DML-IVQR,dgp1,500,200,0.5,0.25,500,500,0,1,0.0540897502,0.0744897502,0.772587754,0.9249592105,0.92430109,0.962,0.008550555538,0.9452409111,0.9787590889,3.054973518,3.105562854,0.168,,,0,0.1,,,,,,,,,
DML-IVQR,dgp1,500,200,0.5,0.5,500,500,0,1,0.0516,0,0.6268,0.7858244079,0.7849137655,0.952,0.009559916318,0.933262564,0.970737436,2.923758118,2.914591263,0.104,,,0,0.01,,,,,,,,,
DML-IVQR,dgp1,500,200,0.5,0.75,500,500,0,1,-0.1880897502,-0.0744897502,0.742742852,0.9370980707,0.9189472063,0.95,0.009746794345,0.9308962831,0.9691037169,3.177682365,3.373425203,0.252,,,0,0.076,,,,,,,,,
DML-IVQR,dgp1,500,200,1,0.25,500,500,0,1,-0.0447102498,-0.1255102498,0.498902041,0.6225996839,0.6216141636,0.926,0.01170675019,0.9030547696,0.9489452304,2.221789815,2.173224483,0.004,,,0,0.03,,,,,,,,,
DML-IVQR,dgp1,500,200,1,0.5,500,500,0,1,-0.0352,0,0.4184,0.5283937925,0.5277480421,0.928,0.0115599308,0.9053425356,0.9506574644,1.985402721,1.90034614,0.002,,,0,0,,,,,,,,,
