dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,200,0.1,0.25,dml_ivqr,10,10,1.3244897501960817,1.4244897501960816,1.6145504322796729,1.3895918001568652,0.4,0.4,2.6,2.6,0.0,0.0,0.0,0.5,,0.0,,9.497214499994879,,10,
dgp1,500,200,0.1,0.25,oracle,10,10,0.9244897501960816,0.6744897501960817,1.5547286895846535,1.3546938501176489,0.0,0.0,1.9,1.9,0.0,0.0,0.1,0.7,,0.0,10.0,0.34370784001657734,,10,
dgp1,500,200,0.1,0.25,post_selection_ivqr,10,10,0.22448975019608164,0.1744897501960817,0.9342888460979822,0.7848979500392164,0.7,0.7,2.5,2.5,0.0,0.0,0.0,0.4,,0.0,17.6,3.3273688300105277,,10,
dgp1,500,200,0.1,0.5,dml_ivqr,10,10,0.8,1.0,1.2449899597988732,1.0,0.9,0.9,3.1,3.1,0.0,0.0,0.0,0.3,,0.0,,10.023731160006719,,10,
dgp1,500,200,0.1,0.5,oracle,10,10,0.15,1.0,1.3874436925511608,1.35,0.1,0.1,1.9,1.9,0.0,0.0,0.1,0.8,,0.0,10.0,0.3738692300103139,,10,
dgp1,500,200,0.1,0.5,post_selection_ivqr,10,10,0.4,0.5,0.9486832980505138,0.8,0.8,0.8,2.7,2.7,0.0,0.0,0.0,0.2,,0.0,23.3,4.021567840012722,,10,
dgp1,500,200,0.1,0.75,dml_ivqr,10,10,-1.2244897501960814,-0.9244897501960816,1.6192205372756554,1.2895918001568654,0.8,0.8,3.2,3.2,0.0,0.0,0.0,0.3,,0.0,,9.471124289999716,,10,
dgp1,500,200,0.1,0.75,oracle,10,10,-1.0744897501960815,-1.1744897501960816,1.5634987122720754,1.3395918001568652,0.0,0.0,2.2,2.2,0.0,0.0,0.0,0.4,,0.0,10.0,0.2900583400100004,,10,
dgp1,500,200,0.1,0.75,post_selection_ivqr,10,10,-0.9244897501960816,-1.6744897501960816,1.7655541051515846,1.5848979500392162,0.4,0.4,2.4,2.4,0.0,0.0,0.1,0.5,,0.0,25.2,4.489537329995073,,10,
dgp1,500,200,0.25,0.25,dml_ivqr,10,10,0.6744897501960816,0.6744897501960817,1.074679683961492,0.8697959000784327,0.3,0.3,2.2,2.2,0.0,0.0,0.0,0.3,,0.0,,9.33813731999253,,10,
