dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,200,0.1,0.25,dml_ivqr,10,10,1.3244897501960817,1.4244897501960816,1.6145504322796729,1.3895918001568652,0.6,0.6,3.0837232440566646,3.0837232440566646,0.0,0.0,0.0,0.4,,0.0,,10.188886840001214,,10,
dgp1,500,200,0.1,0.25,oracle,10,10,0.9244897501960816,0.6744897501960817,1.5547286895846535,1.3546938501176489,0.0,0.0,2.4565387103130396,2.4565387103130396,0.0,0.0,0.0,0.9,,0.0,10.0,0.36083948001032695,,10,
dgp1,500,200,0.1,0.25,post_selection_ivqr,10,10,0.22448975019608164,0.1744897501960817,0.9342888460979822,0.7848979500392164,0.7,0.7,3.0462029690023322,3.0462029690023322,0.0,0.0,0.0,0.4,,0.0,17.6,3.6211942000081763,,10,
dgp1,500,200,0.1,0.5,dml_ivqr,10,10,0.8,1.0,1.2449899597988732,1.0,0.9,0.9,3.382601504105081,3.382601504105081,0.0,0.0,0.0,0.3,,0.0,,11.68442443999811,,10,
dgp1,500,200,0.1,0.5,oracle,10,10,0.15,1.0,1.3874436925511608,1.35,0.2,0.2,2.728566217806733,2.728566217806733,0.0,0.0,0.0,0.7,,0.0,10.0,0.421163900004467,,10,
dgp1,500,200,0.1,0.5,post_selection_ivqr,10,10,0.4,0.5,0.9486832980505138,0.8,0.8,0.8,3.2645563169105984,3.2645563169105984,0.0,0.0,0.0,0.3,,0.0,23.3,4.415975570015144,,10,
dgp1,500,200,0.1,0.75,dml_ivqr,10,10,-1.2244897501960814,-0.9244897501960816,1.6192205372756554,1.2895918001568654,0.9,0.9,3.5251260680563936,3.5251260680563936,0.0,0.0,0.0,0.3,,0.0,,10.18901668000035,,10,
dgp1,500,200,0.1,0.75,oracle,10,10,-1.0744897501960815,-1.1744897501960816,1.5634987122720754,1.3395918001568652,0.0,0.0,2.680681851303688,2.680681851303688,0.0,0.0,0.0,0.5,,0.0,10.0,0.381608579994645,,10,
dgp1,500,200,0.1,0.75,post_selection_ivqr,10,10,-0.9244897501960816,-1.6744897501960816,1.7655541051515846,1.5848979500392162,0.8,0.8,3.5463034840973036,3.5463034840973036,0.0,0.0,0.0,0.4,,0.0,25.2,4.128996639995603,,10,
dgp1,500,200,0.25,0.25,dml_ivqr,10,10,0.6744897501960816,0.6744897501960817,1.074679683961492,0.8697959000784327,0.6,0.6,2.6143727833274535,2.6143727833274535,0.0,0.0,0.0,0.3,,0.0,,10.06999686000636,,10,
dgp1,500,200,0.25,0.25,oracle,10,10,1.0744897501960817,0.6744897501960817,1.2823916029343134,1.0744897501960817,0.0,0.0,1.444183898975966,1.444183898975966,0.0,0.0,0.0,0.2,,0.0,10.0,0.3826215199951548,,10,
dgp1,500,200,0.25,0.25,post_selection_ivqr,10,10,0.6244897501960816,0.6744897501960817,0.8139333191975645,0.6895918001568653,0.6,0.6,2.2688885630515334,2.2688885630515334,0.0,0.0,0.0,0.5,,0.0,23.2,3.743437420000555,,10,
dgp1,500,200,0.25,0.5,dml_ivqr,10,10,-0.05,0.0,0.570087712549569,0.45,0.8,0.8,2.3509862952569334,2.3509862952569334,0.0,0.0,0.0,0.2,,0.0,,11.590555700002005,,10,
dgp1,500,200,0.25,0.5,oracle,10,10,0.0,0.25,1.3601470508735443,1.2,0.3,0.3,2.350688923415798,2.350688923415798,0.0,0.0,0.0,0.9,,0.0,10.0,0.6538211799866985,,10,
dgp1,500,200,0.25,0.5,post_selection_ivqr,10,10,-0.25,0.0,0.6519202405202649,0.45,0.8,0.8,2.4146054182047565,2.4146054182047565,0.0,0.0,0.0,0.0,,0.0,21.7,3.8725709800026378,,10,
dgp1,500,200,0.25,0.75,dml_ivqr,10,10,-0.6744897501960816,-0.4244897501960816,0.92462772136659,0.6744897501960816,0.9,0.9,2.999386124204316,2.999386124204316,0.0,0.0,0.0,0.4,,0.0,,10.107496500015259,,10,
