dgp,n,p,pi,tau,estimator,estimator_label,bias,median_bias,rmse,mae,coverage,avg_cr_length,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,mean_runtime_seconds
dgp1,500,200,0.1,0.25,oracle,Oracle IVQR,0.9245,0.6745,1.5547,1.3547,0.0,2.4565,0.0,0.0,0.0,0.9,0.3608
dgp1,500,200,0.1,0.25,post_selection_ivqr,Post-selection IVQR,0.2245,0.1745,0.9343,0.7849,0.7,3.0462,0.0,0.0,0.0,0.4,3.6212
dgp1,500,200,0.1,0.25,dml_ivqr,DML-IVQR,1.3245,1.4245,1.6146,1.3896,0.6,3.0837,0.0,0.0,0.0,0.4,10.1889
dgp1,500,200,0.1,0.5,oracle,Oracle IVQR,0.15,1.0,1.3874,1.35,0.2,2.7286,0.0,0.0,0.0,0.7,0.4212
dgp1,500,200,0.1,0.5,post_selection_ivqr,Post-selection IVQR,0.4,0.5,0.9487,0.8,0.8,3.2646,0.0,0.0,0.0,0.3,4.416
dgp1,500,200,0.1,0.5,dml_ivqr,DML-IVQR,0.8,1.0,1.245,1.0,0.9,3.3826,0.0,0.0,0.0,0.3,11.6844
dgp1,500,200,0.1,0.75,oracle,Oracle IVQR,-1.0745,-1.1745,1.5635,1.3396,0.0,2.6807,0.0,0.0,0.0,0.5,0.3816
dgp1,500,200,0.1,0.75,post_selection_ivqr,Post-selection IVQR,-0.9245,-1.6745,1.7656,1.5849,0.8,3.5463,0.0,0.0,0.0,0.4,4.129
dgp1,500,200,0.1,0.75,dml_ivqr,DML-IVQR,-1.2245,-0.9245,1.6192,1.2896,0.9,3.5251,0.0,0.0,0.0,0.3,10.189
dgp1,500,200,0.25,0.25,oracle,Oracle IVQR,1.0745,0.6745,1.2824,1.0745,0.0,1.4442,0.0,0.0,0.0,0.2,0.3826
dgp1,500,200,0.25,0.25,post_selection_ivqr,Post-selection IVQR,0.6245,0.6745,0.8139,0.6896,0.6,2.2689,0.0,0.0,0.0,0.5,3.7434
dgp1,500,200,0.25,0.25,dml_ivqr,DML-IVQR,0.6745,0.6745,1.0747,0.8698,0.6,2.6144,0.0,0.0,0.0,0.3,10.07
dgp1,500,200,0.25,0.5,oracle,Oracle IVQR,0.0,0.25,1.3601,1.2,0.3,2.3507,0.0,0.0,0.0,0.9,0.6538
dgp1,500,200,0.25,0.5,post_selection_ivqr,Post-selection IVQR,-0.25,0.0,0.6519,0.45,0.8,2.4146,0.0,0.0,0.0,0.0,3.8726
dgp1,500,200,0.25,0.5,dml_ivqr,DML-IVQR,-0.05,0.0,0.5701,0.45,0.8,2.351,0.0,0.0,0.0,0.2,11.5906
dgp1,500,200,0.25,0.75,oracle,Oracle IVQR,-0.8245,-0.6745,1.1101,0.8245,0.0,2.2206,0.0,0.0,0.0,0.0,0.6342
dgp1,500,200,0.25,0.75,post_selection_ivqr,Post-selection IVQR,-0.5245,-0.4245,1.1303,0.8547,0.7,2.4113,0.0,0.0,0.0,0.1,4.2819
dgp1,500,200,0.25,0.75,dml_ivqr,DML-IVQR,-0.6745,-0.4245,0.9246,0.6745,0.9,2.9994,0.0,0.0,0.0,0.4,10.1075
