dgp,n,p,pi,tau,oracle_avg_cr_length,post_selection_avg_cr_length,dml_avg_cr_length
dgp1,500,200,0.1,0.25,2.4565,3.0462,3.0837
dgp1,500,200,0.1,0.5,2.7286,3.2646,3.3826
dgp1,500,200,0.1,0.75,2.6807,3.5463,3.5251
dgp1,500,200,0.25,0.25,1.4442,2.2689,2.6144
dgp1,500,200,0.25,0.5,2.3507,2.4146,2.351
dgp1,500,200,0.25,0.75,2.2206,2.4113,2.9994
dgp1,500,200,0.5,0.25,0.6454,1.1406,1.7434
dgp1,500,200,0.5,0.5,0.8404,0.6823,1.0524
dgp1,500,200,0.5,0.75,0.8676,1.4158,1.7801
dgp1,500,200,1.0,0.25,0.3791,0.3991,0.5944
dgp1,500,200,1.0,0.5,0.2757,0.331,0.4798
dgp1,500,200,1.0,0.75,0.3694,0.5555,0.7647
dgp1,500,500,0.1,0.25,2.6698,3.6298,3.6206
dgp1,500,500,0.1,0.5,2.3557,3.0715,3.0146
dgp1,500,500,0.1,0.75,2.4687,3.279,3.6674
dgp1,500,500,0.25,0.25,2.0871,2.2678,2.2948
dgp1,500,500,0.25,0.5,1.2235,1.6571,2.3453
dgp1,500,500,0.25,0.75,2.2521,2.3346,3.0119
dgp1,500,500,0.5,0.25,0.6422,0.8369,1.7864
dgp1,500,500,0.5,0.5,0.7744,0.6835,0.932
dgp1,500,500,0.5,0.75,0.7798,1.8006,1.7305
dgp1,500,500,1.0,0.25,0.3791,0.2589,0.5999
dgp1,500,500,1.0,0.5,0.3536,0.3137,0.6156
dgp1,500,500,1.0,0.75,0.3588,0.6037,0.9654
dgp1,1000,200,0.5,0.25,0.3149,0.2766,0.8055
dgp1,1000,200,1.0,0.25,0.1379,0.2009,0.3884
dgp1,1000,200,1.0,0.5,0.2135,0.2315,0.2618
dgp1,1000,200,1.0,0.75,0.1758,0.1679,0.3216
