dgp,n,p,pi,tau,oracle_failure_rate,post_selection_failure_rate,dml_failure_rate
dgp1,500,200,0.1,0.25,0.0,0.0,0.0
dgp1,500,200,0.1,0.5,0.0,0.0,0.0
dgp1,500,200,0.1,0.75,0.0,0.0,0.0
dgp1,500,200,0.25,0.25,0.0,0.0,0.0
dgp1,500,200,0.25,0.5,0.0,0.0,0.0
dgp1,500,200,0.25,0.75,0.0,0.0,0.0
dgp1,500,200,0.5,0.25,0.0,0.0,0.0
dgp1,500,200,0.5,0.5,0.0,0.0,0.0
dgp1,500,200,0.5,0.75,0.0,0.0,0.0
dgp1,500,200,1.0,0.25,0.0,0.0,0.0
dgp1,500,200,1.0,0.5,0.0,0.0,0.0
dgp1,500,200,1.0,0.75,0.0,0.0,0.0
dgp1,500,500,0.1,0.25,0.0,0.0,0.0
dgp1,500,500,0.1,0.5,0.0,0.0,0.0
dgp1,500,500,0.1,0.75,0.0,0.0,0.0
dgp1,500,500,0.25,0.25,0.0,0.0,0.0
dgp1,500,500,0.25,0.5,0.0,0.0,0.0
dgp1,500,500,0.25,0.75,0.0,0.0,0.0
dgp1,500,500,0.5,0.25,0.0,0.0,0.0
dgp1,500,500,0.5,0.5,0.0,0.0,0.0
dgp1,500,500,0.5,0.75,0.0,0.0,0.0
dgp1,500,500,1.0,0.25,0.0,0.0,0.0
dgp1,500,500,1.0,0.5,0.0,0.0,0.0
dgp1,500,500,1.0,0.75,0.0,0.0,0.0
dgp1,1000,200,0.5,0.25,0.0,0.0,0.0
dgp1,1000,200,1.0,0.25,0.0,0.0,0.0
dgp1,1000,200,1.0,0.5,0.0,0.0,0.0
dgp1,1000,200,1.0,0.75,0.0,0.0,0.0
