dgp,n,p,pi,tau,oracle_mae,post_selection_mae,dml_mae
dgp1,500,200,0.1,0.25,1.3547,0.7849,1.3896
dgp1,500,200,0.1,0.5,1.35,0.8,1.0
dgp1,500,200,0.1,0.75,1.3396,1.5849,1.2896
dgp1,500,200,0.25,0.25,1.0745,0.6896,0.8698
dgp1,500,200,0.25,0.5,1.2,0.45,0.45
dgp1,500,200,0.25,0.75,0.8245,0.8547,0.6745
dgp1,500,200,0.5,0.25,0.7245,0.2896,0.4896
dgp1,500,200,0.5,0.5,0.35,0.2,0.2
dgp1,500,200,0.5,0.75,0.2745,0.3349,0.4198
dgp1,500,200,1.0,0.25,0.5396,0.1745,0.3245
dgp1,500,200,1.0,0.5,0.05,0.0,0.15
dgp1,500,200,1.0,0.75,0.1745,0.2198,0.2396
dgp1,500,500,0.1,0.25,1.4547,0.9547,1.4396
dgp1,500,500,0.1,0.5,1.45,0.95,0.9
dgp1,500,500,0.1,0.75,1.4396,1.2047,1.0
dgp1,500,500,0.25,0.25,1.3396,0.5698,1.1547
dgp1,500,500,0.25,0.5,0.65,0.25,0.7
dgp1,500,500,0.25,0.75,0.6245,0.6047,0.8698
dgp1,500,500,0.5,0.25,0.9245,0.2896,0.6245
dgp1,500,500,0.5,0.5,0.45,0.25,0.25
dgp1,500,500,0.5,0.75,0.1745,0.3547,0.7047
dgp1,500,500,1.0,0.25,0.5896,0.1745,0.4245
dgp1,500,500,1.0,0.5,0.1,0.0,0.25
dgp1,500,500,1.0,0.75,0.1745,0.2047,0.4245
dgp1,1000,200,0.5,0.25,0.6745,0.5896,0.2745
dgp1,1000,200,1.0,0.25,0.6745,0.3745,0.2245
dgp1,1000,200,1.0,0.5,0.15,0.1,0.0
dgp1,1000,200,1.0,0.75,0.1745,0.1745,0.1896
