dgp,n,p,pi,tau,oracle_rmse,post_selection_rmse,dml_rmse
dgp1,500,200,0.1,0.25,1.5547,0.9343,1.6146
dgp1,500,200,0.1,0.5,1.3874,0.9487,1.245
dgp1,500,200,0.1,0.75,1.5635,1.7656,1.6192
dgp1,500,200,0.25,0.25,1.2824,0.8139,1.0747
dgp1,500,200,0.25,0.5,1.3601,0.6519,0.5701
dgp1,500,200,0.25,0.75,1.1101,1.1303,0.9246
dgp1,500,200,0.5,0.25,0.7399,0.3506,0.5854
dgp1,500,200,0.5,0.5,0.4743,0.3162,0.3162
dgp1,500,200,0.5,0.75,0.4066,0.3815,0.5224
dgp1,500,200,1.0,0.25,0.5789,0.1745,0.3972
dgp1,500,200,1.0,0.5,0.1581,0.0,0.2739
dgp1,500,200,1.0,0.75,0.1745,0.2304,0.2836
dgp1,500,500,0.1,0.25,1.6084,1.1169,1.6323
dgp1,500,500,0.1,0.5,1.5411,1.1068,1.0488
dgp1,500,500,0.1,0.75,1.6521,1.5082,1.162
dgp1,500,500,0.25,0.25,1.5425,0.6445,1.3463
dgp1,500,500,0.25,0.5,0.7583,0.5701,0.8944
dgp1,500,500,0.25,0.75,0.75,0.7649,1.0583
dgp1,500,500,0.5,0.25,1.033,0.3506,0.7159
dgp1,500,500,0.5,0.5,0.6124,0.3536,0.3536
dgp1,500,500,0.5,0.75,0.1745,0.4158,1.0174
dgp1,500,500,1.0,0.25,0.6145,0.1745,0.4926
dgp1,500,500,1.0,0.5,0.2236,0.0,0.3536
dgp1,500,500,1.0,0.75,0.1745,0.2134,0.4926
dgp1,1000,200,0.5,0.25,0.6745,0.6539,0.3396
dgp1,1000,200,1.0,0.25,0.6745,0.4475,0.27
dgp1,1000,200,1.0,0.5,0.2739,0.2236,0.0
dgp1,1000,200,1.0,0.75,0.1745,0.1745,0.1949
