dgp,n,p,pi,tau,oracle_mean_runtime_seconds,post_selection_mean_runtime_seconds,dml_mean_runtime_seconds
dgp1,500,200,0.1,0.25,0.3608,3.6212,10.1889
dgp1,500,200,0.1,0.5,0.4212,4.416,11.6844
dgp1,500,200,0.1,0.75,0.3816,4.129,10.189
dgp1,500,200,0.25,0.25,0.3826,3.7434,10.07
dgp1,500,200,0.25,0.5,0.6538,3.8726,11.5906
dgp1,500,200,0.25,0.75,0.6342,4.2819,10.1075
dgp1,500,200,0.5,0.25,0.3504,4.1393,10.7087
dgp1,500,200,0.5,0.5,0.573,5.2332,11.8361
dgp1,500,200,0.5,0.75,0.4567,4.5703,10.43
dgp1,500,200,1.0,0.25,0.2591,3.8155,8.6775
dgp1,500,200,1.0,0.5,0.438,3.67,10.8667
dgp1,500,200,1.0,0.75,0.5028,4.4076,9.8711
dgp1,500,500,0.1,0.25,0.389,10.134,34.9353
dgp1,500,500,0.1,0.5,0.7178,11.7671,44.613
dgp1,500,500,0.1,0.75,0.577,10.7229,35.7858
dgp1,500,500,0.25,0.25,0.3723,9.4727,34.3639
dgp1,500,500,0.25,0.5,0.4291,13.2859,42.667
dgp1,500,500,0.25,0.75,0.4191,13.451,37.1627
dgp1,500,500,0.5,0.25,0.5158,11.6894,34.4525
dgp1,500,500,0.5,0.5,0.86,11.0694,43.8745
dgp1,500,500,0.5,0.75,0.633,10.5564,36.1454
dgp1,500,500,1.0,0.25,0.4823,11.5141,35.0085
dgp1,500,500,1.0,0.5,0.4621,14.0769,44.7037
dgp1,500,500,1.0,0.75,0.6185,11.2379,35.1611
dgp1,1000,200,0.5,0.25,0.5779,8.5076,23.128
dgp1,1000,200,1.0,0.25,0.4176,9.1102,23.3661
dgp1,1000,200,1.0,0.5,0.6864,8.573,40.8257
dgp1,1000,200,1.0,0.75,0.5062,9.4811,22.507
