check_id,metric,authoritative_source,expected_value,thesis_output,absolute_difference,tolerance,status
design_design_cells,design_cells,results/validation/r500_audit/structural_validation.json,144,144,0,0,passed
design_replications_per_design_cell,replications_per_design_cell,results/validation/r500_audit/structural_validation.json,500,500,0,0,passed
design_rows_per_estimator,rows_per_estimator,results/validation/r500_audit/structural_validation.json,72000,72000,0,0,passed
design_total_estimator_rows,total_estimator_rows,results/validation/r500_audit/structural_validation.json,216000,216000,0,0,passed
overall_oracle_conditional_coverage,conditional_coverage,results/validation/r500_audit/estimator_summary.csv,0.9421145485,0.9421145485,0,1e-12,passed
overall_oracle_coverage_denominator,coverage_denominator,results/validation/r500_audit/estimator_summary.csv,71987,71987,0,1e-12,passed
overall_oracle_bias,bias,results/validation/r500_audit/estimator_summary.csv,-0.006741666667,-0.006741666667,0,1e-12,passed
overall_oracle_rmse,rmse,results/validation/r500_audit/estimator_summary.csv,0.835711091,0.835711091,0,1e-12,passed
overall_oracle_mean_cr_length,mean_cr_length,results/validation/r500_audit/estimator_summary.csv,2.40693558,2.40693558,0,1e-12,passed
overall_oracle_iteration_warning_rate,iteration_warning_rate,results/validation/r500_audit/estimator_summary.csv,0.700125,0.700125,0,1e-12,passed
classification_oracle_overall_wilson95_lower,overall_wilson95_lower,results/validation/r500_phase2/estimator_classification.csv,0.9403848913,0.9403848913,0,1e-12,passed
classification_oracle_overall_wilson95_upper,overall_wilson95_upper,results/validation/r500_phase2/estimator_classification.csv,0.9437970211,0.9437970211,0,1e-12,passed
classification_oracle_coverage_gap,coverage_gap,results/validation/r500_phase2/estimator_classification.csv,-0.00788545154,-0.00788545154,0,1e-12,passed
classification_oracle_classification,classification,results/validation/r500_phase2/estimator_classification.csv,acceptable with caveats,acceptable with caveats,0,1e-12,passed
classification_oracle_diagnostic_confidence,diagnostic_confidence,results/validation/r500_phase2/estimator_classification.csv,high,high,0,1e-12,passed
overall_post_selection_conditional_coverage,conditional_coverage,results/validation/r500_audit/estimator_summary.csv,0.9246772378,0.9246772378,0,1e-12,passed
overall_post_selection_coverage_denominator,coverage_denominator,results/validation/r500_audit/estimator_summary.csv,71957,71957,0,1e-12,passed
overall_post_selection_bias,bias,results/validation/r500_audit/estimator_summary.csv,-0.05664444444,-0.05664444444,0,1e-12,passed
overall_post_selection_rmse,rmse,results/validation/r500_audit/estimator_summary.csv,0.8592278001,0.8592278001,0,1e-12,passed
overall_post_selection_mean_cr_length,mean_cr_length,results/validation/r500_audit/estimator_summary.csv,2.381302055,2.381302055,0,1e-12,passed
overall_post_selection_iteration_warning_rate,iteration_warning_rate,results/validation/r500_audit/estimator_summary.csv,0.8985694444,0.8985694444,0,1e-12,passed
classification_post_selection_overall_wilson95_lower,overall_wilson95_lower,results/validation/r500_phase2/estimator_classification.csv,0.9227261708,0.9227261708,0,1e-12,passed
classification_post_selection_overall_wilson95_upper,overall_wilson95_upper,results/validation/r500_phase2/estimator_classification.csv,0.9265829624,0.9265829624,0,1e-12,passed
classification_post_selection_coverage_gap,coverage_gap,results/validation/r500_phase2/estimator_classification.csv,-0.02532276221,-0.02532276221,0,1e-12,passed
classification_post_selection_classification,classification,results/validation/r500_phase2/estimator_classification.csv,concerning,concerning,0,1e-12,passed
classification_post_selection_diagnostic_confidence,diagnostic_confidence,results/validation/r500_phase2/estimator_classification.csv,high,high,0,1e-12,passed
overall_dml_conditional_coverage,conditional_coverage,results/validation/r500_audit/estimator_summary.csv,0.9489834207,0.9489834207,0,1e-12,passed
overall_dml_coverage_denominator,coverage_denominator,results/validation/r500_audit/estimator_summary.csv,71957,71957,0,1e-12,passed
overall_dml_bias,bias,results/validation/r500_audit/estimator_summary.csv,0.0093,0.0093,0,1e-12,passed
overall_dml_rmse,rmse,results/validation/r500_audit/estimator_summary.csv,0.9869705597,0.9869705597,0,1e-12,passed
overall_dml_mean_cr_length,mean_cr_length,results/validation/r500_audit/estimator_summary.csv,2.959140588,2.959140588,0,1e-12,passed
overall_dml_iteration_warning_rate,iteration_warning_rate,results/validation/r500_audit/estimator_summary.csv,NA,NA,0,1e-12,passed
classification_dml_overall_wilson95_lower,overall_wilson95_lower,results/validation/r500_phase2/estimator_classification.csv,0.9473516179,0.9473516179,0,1e-12,passed
classification_dml_overall_wilson95_upper,overall_wilson95_upper,results/validation/r500_phase2/estimator_classification.csv,0.9505672858,0.9505672858,0,1e-12,passed
classification_dml_coverage_gap,coverage_gap,results/validation/r500_phase2/estimator_classification.csv,-0.001016579346,-0.001016579346,0,1e-12,passed
classification_dml_classification,classification,results/validation/r500_phase2/estimator_classification.csv,acceptable with caveats,acceptable with caveats,0,1e-12,passed
classification_dml_diagnostic_confidence,diagnostic_confidence,results/validation/r500_phase2/estimator_classification.csv,limited,limited,0,1e-12,passed
paired_oracle_post_selection_coverage_difference,coverage_difference,results/validation/r500_phase2/paired_estimator_summary.csv,0.01773404492,0.01773404492,0,1e-12,passed
paired_oracle_post_selection_coverage_ci95_lower,coverage_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,0.01584374328,0.01584374328,0,1e-12,passed
paired_oracle_post_selection_coverage_ci95_upper,coverage_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,0.01962434656,0.01962434656,0,1e-12,passed
paired_oracle_post_selection_coverage_denominator,coverage_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,71952,71952,0,1e-12,passed
paired_oracle_post_selection_squared_error_difference,squared_error_difference,results/validation/r500_phase2/paired_estimator_summary.csv,-0.03985938476,-0.03985938476,0,1e-12,passed
paired_oracle_post_selection_squared_error_ci95_lower,squared_error_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,-0.04827933469,-0.04827933469,0,1e-12,passed
paired_oracle_post_selection_squared_error_ci95_upper,squared_error_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,-0.03143943484,-0.03143943484,0,1e-12,passed
paired_oracle_post_selection_squared_error_denominator,squared_error_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,72000,72000,0,1e-12,passed
paired_oracle_post_selection_cr_length_difference,cr_length_difference,results/validation/r500_phase2/paired_estimator_summary.csv,0.0260904984,0.0260904984,0,1e-12,passed
paired_oracle_post_selection_cr_length_ci95_lower,cr_length_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,0.02289041643,0.02289041643,0,1e-12,passed
paired_oracle_post_selection_cr_length_ci95_upper,cr_length_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,0.02929058038,0.02929058038,0,1e-12,passed
paired_oracle_post_selection_cr_length_denominator,cr_length_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,71954,71954,0,1e-12,passed
paired_oracle_dml_coverage_difference,coverage_difference,results/validation/r500_phase2/paired_estimator_summary.csv,-0.006769153786,-0.006769153786,0,1e-12,passed
paired_oracle_dml_coverage_ci95_lower,coverage_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,-0.008945865229,-0.008945865229,0,1e-12,passed
paired_oracle_dml_coverage_ci95_upper,coverage_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,-0.004592442344,-0.004592442344,0,1e-12,passed
paired_oracle_dml_coverage_denominator,coverage_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,71944,71944,0,1e-12,passed
paired_oracle_dml_squared_error_difference,squared_error_difference,results/validation/r500_phase2/paired_estimator_summary.csv,-0.275697858,-0.275697858,0,1e-12,passed
paired_oracle_dml_squared_error_ci95_lower,squared_error_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,-0.2873404119,-0.2873404119,0,1e-12,passed
paired_oracle_dml_squared_error_ci95_upper,squared_error_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,-0.2640553041,-0.2640553041,0,1e-12,passed
paired_oracle_dml_squared_error_denominator,squared_error_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,72000,72000,0,1e-12,passed
paired_oracle_dml_cr_length_difference,cr_length_difference,results/validation/r500_phase2/paired_estimator_summary.csv,-0.5521575001,-0.5521575001,0,1e-12,passed
paired_oracle_dml_cr_length_ci95_lower,cr_length_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,-0.5581583386,-0.5581583386,0,1e-12,passed
paired_oracle_dml_cr_length_ci95_upper,cr_length_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,-0.5461566616,-0.5461566616,0,1e-12,passed
paired_oracle_dml_cr_length_denominator,cr_length_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,71944,71944,0,1e-12,passed
paired_post_selection_dml_coverage_difference,coverage_difference,results/validation/r500_phase2/paired_estimator_summary.csv,-0.02430647292,-0.02430647292,0,1e-12,passed
paired_post_selection_dml_coverage_ci95_lower,coverage_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,-0.02665060703,-0.02665060703,0,1e-12,passed
paired_post_selection_dml_coverage_ci95_upper,coverage_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,-0.02196233881,-0.02196233881,0,1e-12,passed
paired_post_selection_dml_coverage_denominator,coverage_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,71915,71915,0,1e-12,passed
paired_post_selection_dml_squared_error_difference,squared_error_difference,results/validation/r500_phase2/paired_estimator_summary.csv,-0.2358384733,-0.2358384733,0,1e-12,passed
paired_post_selection_dml_squared_error_ci95_lower,squared_error_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,-0.2476188592,-0.2476188592,0,1e-12,passed
paired_post_selection_dml_squared_error_ci95_upper,squared_error_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,-0.2240580874,-0.2240580874,0,1e-12,passed
paired_post_selection_dml_squared_error_denominator,squared_error_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,72000,72000,0,1e-12,passed
paired_post_selection_dml_cr_length_difference,cr_length_difference,results/validation/r500_phase2/paired_estimator_summary.csv,-0.5777223452,-0.5777223452,0,1e-12,passed
paired_post_selection_dml_cr_length_ci95_lower,cr_length_ci95_lower,results/validation/r500_phase2/paired_estimator_summary.csv,-0.5837877231,-0.5837877231,0,1e-12,passed
paired_post_selection_dml_cr_length_ci95_upper,cr_length_ci95_upper,results/validation/r500_phase2/paired_estimator_summary.csv,-0.5716569672,-0.5716569672,0,1e-12,passed
paired_post_selection_dml_cr_length_denominator,cr_length_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,71917,71917,0,1e-12,passed
warning_oracle,warning_frequency,results/validation/r500_phase2/warning_summary.csv,0.700125,0.700125,0,1e-12,passed
warning_events_oracle,warning_event_count,results/validation/r500_phase2/warning_summary.csv,93657,93657.0,0,0,passed
warning_post_selection,warning_frequency,results/validation/r500_phase2/warning_summary.csv,0.8985694444,0.8985694444,0,1e-12,passed
warning_events_post_selection,warning_event_count,results/validation/r500_phase2/warning_summary.csv,237048,237048.0,0,0,passed
