estimator,pi,conditional_coverage,wilson95_lower,wilson95_upper,coverage_denominator,bias,rmse,mean_cr_length
oracle,0.1,0.9478014342,0.9444543386,0.9509573122,17989,0.02566666667,1.280874138,3.645702412
oracle,0.25,0.9439382154,0.9404816518,0.9472053057,17998,-0.03537777778,0.8914905242,2.977583519
oracle,0.5,0.9425555556,0.9390608145,0.9458614345,18000,-0.016,0.5142198538,1.891692468
oracle,1,0.9341666667,0.9304503396,0.9376977116,18000,-0.001255555555,0.3063268541,1.11358435
post_selection,0.1,0.9350258894,0.9313273182,0.9385384089,17961,0.0115,1.290153993,3.590344877
post_selection,0.25,0.93054012,0.9267329728,0.934163492,17996,-0.09411111111,0.9320637463,2.939378071
post_selection,0.5,0.9238333333,0.9198670109,0.9276187834,18000,-0.08566666667,0.5548726322,1.885758947
post_selection,1,0.9093333333,0.9050507879,0.9134411944,18000,-0.0583,0.3346129974,1.112335599
dml,0.1,0.9541080269,0.9509509001,0.9570711137,17977,0.1234222222,1.315048994,3.757015299
dml,0.25,0.9487906589,0.9454722175,0.9519174177,17985,0.0017,1.120789041,3.450846115
dml,0.5,0.9478744096,0.9445300186,0.9510276155,17995,-0.0472,0.802945732,2.744535175
dml,1,0.9451666667,0.9417448754,0.9483984816,18000,-0.04072222222,0.5159455038,1.885535411
